Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.MDV201_CONNECTOR,    388.011,    97.00,    64.67,    7366.31,     3215.9, 0, 1379, 3, 7.2 
Line.MDV201_HN_1_275_A94744,   0.937705,     0.58,     0.48,    6.15823,    2.64473, 0, 1, 1, 7.2 
Line.MDV201_HN_2_466_C62235,    19.5003,     8.95,     7.44,     130.15,    53.5321, 0, 23, 1, 7.2 
Line.MDV201_DA_8_780_A1144234,    2.51315,     1.54,     1.28,    16.5891,    7.12596, 0, 2, 1, 7.2 
Line.MDV201_1160486ELB-1_SW,    7.52682,     1.88,     1.25,    49.1286,    19.4225, 0, 7, 1, 7.2 
Line.MDV201_1160486ELB,    7.52683,     0.38,     0.38,    49.1286,    19.4224, 0, 7, 1, 7.2 
Line.MDV201_HN_2P009_B1160473,    28.1926,    18.80,    18.80,    184.042,    73.0609, 0, 25, 1, 7.2 
Line.MDV201_HN_2_088_ABC8164,    127.168,    37.62,    31.32,    1823.78,    765.403, 0, 312, 3, 7.2 
Line.MDV201_HN_2_319_B39610,    1.56773,     0.96,     0.80,    10.3677,    4.13676, 0, 2, 1, 7.2 
Line.MDV201_HN_2_417_A842,    12.2852,     7.54,     6.27,    82.2185,    35.4749, 0, 18, 1, 7.2 
Line.MDV201_HN_2_941_B39760,    5.78995,     3.55,     2.95,    37.7758,    15.0924, 0, 7, 1, 7.2 
Line.MDV201_1160480ELB-1_SW,    21.2358,     5.31,     3.54,     138.57,    55.0517, 0, 19, 1, 7.2 
Line.MDV201_1160480ELB,    21.2358,     1.06,     1.06,    138.569,    55.0513, 0, 19, 1, 7.2 
Line.C_1P034_SW,    11.1923,     2.80,     1.87,    73.6696,    31.6941, 0, 12, 1, 7.2 
Line.MDV201_8088ELB,    11.1923,     0.56,     0.56,    73.6696,     31.694, 0, 12, 1, 7.2 
Line.MDV201_HN_2_499_ABC834,     142.76,    63.73,    84.47,    2358.21,    978.504, 0, 450, 3, 7.2 
Line.MDV201_1160478ELB-1_SW,    15.6436,     3.91,     2.61,    102.086,    40.4802, 0, 15, 1, 7.2 
Line.MDV201_1160478ELB,    15.6436,     0.78,     0.78,    102.086,      40.48, 0, 15, 1, 7.2 
Line.MDV201_HN_2_217_ABC8160,    139.734,    41.34,    34.42,    1938.97,    813.773, 0, 336, 3, 7.2 
Line.MDV201_HN_2_942_C89791,    16.1222,     9.89,     8.23,    107.294,    44.2541, 0, 17, 1, 7.2 
Line.MDV201_99422FUSE,    20.4108,     1.02,     0.85,    134.631,    58.2554, 0, 24, 1, 7.2 
Line.MDV201_HN_2_140_ABC8124,     22.047,     9.84,    13.05,    227.379,    96.7882, 0, 60, 3, 7.2 
Line.MDV201_HN_2_818_ABC63707,    97.4065,    28.82,    23.99,    882.806,    361.899, 0, 167, 3, 7.2 
Line.MDV201_DA_8_731_C74450,    2.36565,     1.45,     1.21,    15.6377,    6.42815, 0, 3, 1, 7.2 
Line.MDV201_100494FUSE,    1.27128,     0.06,     0.05,    8.34589,    3.38059, 0, 4, 1, 7.2 
Line.MDV201_107110FUSE,    37.3732,     1.87,     1.56,    375.076,    159.808, 0, 67, 2, 7.2 
Line.MDV201_HN_2_477_C8121,     8.9109,     5.47,     4.55,    60.1371,    24.7787, 0, 14, 1, 7.2 
Line.MDV201_HN_2_876_C63671,    15.3992,     7.06,     5.88,    103.548,    42.7018, 0, 17, 1, 7.2 
Line.MDV201_HN_2_671_C89781,     40.369,    18.52,    15.41,    268.725,    111.192, 0, 41, 1, 7.2 
Line.MDV201_DA_8_930_A39751,    7.73843,     3.55,     2.95,     50.856,    21.9801, 0, 7, 1, 7.2 
Line.MDV201_HN_2_394_ABC63658,    312.872,    50.54,    42.11,    5036.72,    2112.67, 0, 971, 3, 7.2 
Line.MDV201_DA_8_687_B74448,    25.6376,    15.73,    13.08,    171.385,    68.3843, 0, 34, 1, 7.2 
Line.MDV201_1012643FUSE,   0.623824,     0.03,     0.03,    4.21399,    1.64088, 0, 1, 1, 7.2 
Line.MDV201_HN_1_238_A39569,    2.28723,     1.40,     1.17,    15.0201,    6.45694, 0, 3, 1, 7.2 
Line.MDV201_14869FUSE,    15.9784,     0.80,     0.67,    106.327,    45.8971, 0, 21, 1, 7.2 
Line.MDV201_HN_1_156_C89790,    1.82811,     0.84,     0.70,    12.2768,    5.01774, 0, 3, 1, 7.2 
Line.MDV201_HN_2_318_C28272,    1.47368,     0.90,     0.75,     9.9765,    4.09516, 0, 2, 1, 7.2 
Line.MDV201_C_1_140_ABC69477,  0.0919786,     0.01,     0.01,   0.615418,   0.144614, 0, 1, 3, 7.2 
Line.MDV201_HN_2_948_C8176,    3.13404,     1.44,     1.20,    20.8467,    8.60431, 0, 3, 1, 7.2 
Line.MDV201_1144230FUSE,    7.20591,     0.36,     0.30,    47.8796,    20.6251, 0, 10, 1, 7.2 
Line.MDV201_HN_2_105_ABC39582,    71.5145,    32.80,    27.30,    872.841,    357.698, 0, 198, 3, 7.2 
Line.MDV201_DA_8_691_B46386,    15.5491,     9.54,     7.93,    103.869,    41.4189, 0, 20, 1, 7.2 
Line.MDV201_HN_2_457_C62244,    20.6594,     9.48,     7.89,    137.893,    56.7308, 0, 25, 1, 7.2 
Line.C_1P038_SW,    22.1368,     5.53,     3.69,    145.849,    62.5233, 0, 25, 1, 7.2 
Line.MDV201_8075ELB,    22.1368,     1.11,     1.11,    145.848,    62.5228, 0, 25, 1, 7.2 
Line.C_1P032_SW,    3.18354,     0.80,     0.53,     20.942,    9.04021, 0, 3, 1, 7.2 
Line.MDV201_107997ELB,    3.18353,     0.16,     0.16,     20.942,    9.04016, 0, 3, 1, 7.2 
Line.MDV201_HN_2_949_C8180,    3.13439,     1.44,     1.20,    20.8464,    8.61055, 0, 3, 1, 7.2 
Line.MDV201_C_1P024_A8100,    20.4329,    13.62,    13.62,    134.914,    57.5083, 0, 24, 1, 7.2 
Line.MDV201_HN_2_166_C33824,    5.18874,     4.15,     3.46,    34.6946,    14.2949, 0, 11, 1, 7.2 
Line.MDV201_HN_2_827_A14873,    2.77713,     1.70,     1.42,    18.4548,    7.98339, 0, 4, 1, 7.2 
Line.HN_2P017_SW,    1.48799,     0.37,     0.25,    9.98746,    3.97711, 0, 1, 1, 7.2 
Line.MDV201_62249ELB,    1.48799,     0.07,     0.07,    9.98742,    3.97707, 0, 1, 1, 7.2 
Line.MDV201_HN_2_397_B63634,    16.1265,     9.89,     8.23,    108.403,    43.2089, 0, 22, 1, 7.2 
Line.MDV201_C_1P037_A1160467,    19.2984,    12.87,    12.87,    127.175,    54.4412, 0, 22, 1, 7.2 
Line.MDV201_HN_2_280_A8185,    1.07861,     0.86,     0.72,     7.1718,    3.07558, 0, 2, 1, 7.2 
Line.MDV201_HN_2_794_ABC791,    388.011,    62.68,    52.22,    7363.39,    3207.48, 0, 1379, 3, 7.2 
Line.MDV201_HN_2_677_C62303,    5.47363,     2.51,     2.09,    36.4487,    14.9767, 0, 6, 1, 7.2 
Line.MDV201_100478FUSE,   0.763494,     0.04,     0.03,    5.14033,     2.1835, 0, 1, 1, 7.2 
Line.MDV201_HN_2_115_ABC58446,    22.5612,    10.35,     8.61,    212.231,    88.2036, 0, 58, 3, 7.2 
Line.MDV201_HN_2_895_B52515,    13.6776,     8.39,     6.98,    90.2416,    36.1152, 0, 17, 1, 7.2 
Line.MDV201_98795FUSE,    0.39446,     0.02,     0.02,    7.82321,    3.27801, 0, 3, 3, 7.2 
Line.MDV201_HN_2_246_B39602,    6.33833,     2.91,     2.42,    42.1016,     16.856, 0, 6, 1, 7.2 
Line.MDV201_DA_8_149_ABC56778,    38.0056,    11.24,     9.36,    536.983,     219.13, 0, 107, 3, 7.2 
Line.MDV201_HN_2_083_ABC62239,    87.5083,    25.89,    21.55,     1322.7,    556.176, 0, 232, 3, 7.2 
Line.MDV201_DA_8_145_ABC46393, 0.00217366,     0.00,     0.00, -3.75882E-010,  -0.043592, 0, 0, 3, 7.2 
Line.MDV201_HN_2_729_B28246,    1.38016,     0.85,     0.70,    9.28213,    3.71452, 0, 2, 1, 7.2 
Line.MDV201_HN_2_954_B39771,    3.69248,     2.27,     1.88,    24.0967,     9.6331, 0, 6, 1, 7.2 
Line.MDV201_108776FUSE,    2.09201,     0.10,     0.09,    13.7605,    6.02497, 0, 2, 1, 7.2 
Line.HN_2P028_SW,    1.64018,     0.41,     0.27,    10.9245,    4.86954, 0, 2, 1, 7.2 
Line.MDV201_795ELB,    1.64019,     0.08,     0.08,    10.9245,    4.86955, 0, 2, 1, 7.2 
